Country,CountryID,Continent,Adolescent fertility rate (%),Adult literacy rate (%),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (%),Net primary school enrolment ratio male (%),Population (in thousands) total
Afghanistan,1,1,151,28,,,,26088
Albania,2,2,27,98.7,6000,93,94,3172
Algeria,3,3,6,69.9,5940,94,96,33351
Andorra,4,2,,,,83,83,74
Angola,5,3,146,67.4,3890,49,51,16557
Antigua and Barbuda,6,4,,,15130,,,84
Argentina,7,5,62,97.2,11670,98,99,39134
Armenia,8,2,30,99.4,4950,84,80,3010
Australia,9,6,16,,33940,97,96,20530
Austria,10,2,14,,36040,98,97,8327
Azerbaijan,11,2,31,98.8,5430,83,86,8406
Bahamas,12,4,46,,,89,87,327
Bahrain,13,1,14,86.5,34310,98,98,739
Bangladesh,14,7,135,47.5,1230,90,87,155991
Barbados,15,4,51,,15150,96,97,293
Belarus,16,2,22,99.6,9700,88,90,9742
Belgium,17,2,5,,33860,97,97,10430
Belize,18,5,90,70.3,7080,97,97,282
Benin,19,3,108,34.7,1250,73,87,8760
Bermuda,20,4,,,,,,
Bhutan,21,7,62,,4000,79,79,649
Bolivia,22,5,97,86.7,3810,95,94,9354
Bosnia and Herzegovina,23,2,25,96.7,6780,,,3926
Botswana,24,3,51,81.2,11730,85,83,1858
Brazil,25,5,71,88.6,8700,95,93,189323
Brunei Darussalam,26,6,31,92.7,49900,94,94,382
Bulgaria,27,2,40,98.2,10270,92,93,7693
Burkina Faso,28,3,131,23.6,1130,42,52,14359
Burundi,29,3,30,59.3,320,73,76,8173
Cambodia,30,7,52,73.6,1550,89,91,14197
Cameroon,31,3,141,67.9,2060,65,74,18175
Canada,32,4,14,,36280,100,99,32577
Cape Verde,33,1,104,81.2,2590,87,88,519
Central African Republic,34,3,157,48.6,690,38,53,4265
Chad,35,3,193,25.7,1170,49,71,10468
Chile,36,5,49,95.7,11300,89,90,16465
China,37,7,3,90.9,4660,96,100,1328474
Colombia,38,5,92,92.8,6130,88,89,45558
Comoros,39,3,66,,1140,50,60,818
"Congo, Dem. Rep.",40,3,125,67.2,270,47,60
"Congo, Rep.",41,3,132,84.4,2420,52,58
Cook Islands,42,6,,,,75,73,14
Costa Rica,43,5,77,94.9,9220,88,87,4399
Cote d'Ivoire,44,3,132,48.7,1580,49,61,18914
Croatia,45,2,14,98.1,13850,90,91,4556
Cuba,46,5,47,99.8,,97,96,11267
Cyprus,47,2,5,96.8,25060,99,99,846
Czech Republic,48,2,11,,20920,94,91,10189
Denmark,49,2,6,,36190,96,95,5430
Djibouti,50,1,27,,2180,34,42,819
Dominica,51,5,,,7870,79,75,68
Dominican Republic,52,5,118,87,5550,78,76,9615
Ecuador,53,5,100,91,6810,97,96,13202
Egypt,54,1,48,71.4,4940,94,98,74166
El Salvador,55,5,104,74.1,5610,94,94,6762
Equatorial Guinea,56,3,128,87,16620,83,91,496
Eritrea,57,3,85,,680,43,50,4692
Estonia,58,2,21,99.8,18090,94,95,1340
Ethiopia,59,3,109,35.9,630,68,74,81021
Fiji,60,6,35,,4450,91,91,833
Finland,61,2,11,,33170,97,97,5261
France,62,2,8,,32240,99,98,61330
French Polynesia,63,6,,,,,,
Gabon,64,3,144,83.8,11180,88,88,1311
Gambia,65,3,167,,1110,64,59,1663
Georgia,66,2,47,,3880,91,88,4433
Germany,67,2,11,,32680,98,98,82641
Ghana,68,3,74,57.9,1240,71,73,23008
Greece,69,2,11,96,30870,99,100,11123
Grenada,70,5,53,,8770,83,84,106
Guatemala,71,5,120,69.1,5120,92,96,13029
Guinea,72,3,153,29.5,1130,66,77,9181
Guinea-Bissau,73,3,,,460,37,53,1646
Guyana,74,5,90,,3410,89,89,739
Haiti,75,5,69,,1070,22,21,9446
Honduras,76,5,108,80,3420,97,96,6969
"Hong Kong, China",77,6,,,,,
Hungary,78,2,21,,16970,88,89,10058
Iceland,79,2,16,,33740,97,98,298
India,80,7,97,61,2460,87,90,1151751
Indonesia,81,6,54,90.4,3310,94,97,228864
Iran (Islamic Republic of),82,1,35,82.4,9800,100,91,70270
Iraq,83,1,17,74.1,,82,95,28506
Ireland,84,2,19,,34730,95,94,4221
Israel,85,1,15,,23840,97,96,6810
Italy,86,2,7,98.4,28970,98,99,58779
Jamaica,87,5,65,79.9,7050,90,90,2699
Japan,88,6,6,,32840,100,100,127953
Jordan,89,1,30,91.1,4820,90,89,5729
Kazakhstan,90,2,26,99.5,8700,90,90,15314
Kenya,91,3,116,73.6,1470,76,75,36553
Kiribati,92,6,,,6230,98,96,94
